"Continent","Region","Country"
"Papua New Guinea","USSR (until 1991)","Papua New Guinea"
"Solomon Islands","USSR (until 1991)","Solomon Islands"
"Vanuatu","USSR (until 1991)","Vanuatu"
"Micronesia","USSR (until 1991)","Micronesia"
"Guam","USSR (until 1991)","Guam"
"Kiribati","USSR (until 1991)","Kiribati"
"Marshall Islands","USSR (until 1991)","Marshall Islands"
"Micronesia (Federated States of)","USSR (until 1991)","Micronesia (Federated States of)"
"Nauru","USSR (until 1991)","Nauru"
"Northern Mariana Islands","USSR (until 1991)","Northern Mariana Islands"
"Pacific Islands (Trust Territory) (1947-1986)","USSR (until 1991)","Pacific Islands (Trust Territory) (1947-1986)"
"Palau","USSR (until 1991)","Palau"
"Polynesia","USSR (until 1991)","Polynesia"
"American Samoa","USSR (until 1991)","American Samoa"
"Cook Islands","USSR (until 1991)","Cook Islands"
"French Polynesia","USSR (until 1991)","French Polynesia"
"Niue","USSR (until 1991)","Niue"
"Pitcairn","USSR (until 1991)","Pitcairn"
"Samoa","USSR (until 1991)","Samoa"
"Tokelau","USSR (until 1991)","Tokelau"
"Tonga","USSR (until 1991)","Tonga"
"Tuvalu","USSR (until 1991)","Tuvalu"
"Wallis and Futuna Islands","USSR (until 1991)","Wallis and Futuna Islands"
"Asia","USSR (until 1991)","Asia"
"Southern Asia","USSR (until 1991)","Southern Asia"
"Afghanistan","USSR (until 1991)","Afghanistan"
"Bangladesh","USSR (until 1991)","Bangladesh"
"Bhutan","USSR (until 1991)","Bhutan"
"India","USSR (until 1991)","India"
"Iran (Islamic Republic of)","USSR (until 1991)","Iran (Islamic Republic of)"
"Maldives","USSR (until 1991)","Maldives"
"Nepal","USSR (until 1991)","Nepal"
"Pakistan","USSR (until 1991)","Pakistan"
"Sri Lanka","USSR (until 1991)","Sri Lanka"
"Tibet","USSR (until 1991)","Tibet"
"Eastern Asia","USSR (until 1991)","Eastern Asia"
"China","USSR (until 1991)","China"
"China, Hong Kong Special Administrative Region","USSR (until 1991)","China, Hong Kong Special Administrative Region"
"China, Macao Special Administrative Region","USSR (until 1991)","China, Macao Special Administrative Region"
"Democratic People's Republic of Korea","USSR (until 1991)","Democratic People's Republic of Korea"
"Japan","USSR (until 1991)","Japan"
"Mongolia","USSR (until 1991)","Mongolia"
"Republic of Korea","USSR (until 1991)","Republic of Korea"
"Taiwan","USSR (until 1991)","Taiwan"
"South-Eastern Asia","USSR (until 1991)","South-Eastern Asia"
"Brunei Darussalam","USSR (until 1991)","Brunei Darussalam"
"Cambodia","USSR (until 1991)","Cambodia"
"Indonesia","USSR (until 1991)","Indonesia"
"Indonesia (until 1999)","USSR (until 1991)","Indonesia (until 1999)"
"Lao People's Democratic Republic","USSR (until 1991)","Lao People's Democratic Republic"
